time,username,action,detail
2025-07-24T21:15:25.288030,duyen,checkin,Vehicle ak123 in slot 1
2025-07-24T21:15:33.459485,duyen,checkout,"Vehicle ak123 out slot 1, fee 2.0"
2025-07-24T21:19:26.738442,duyen,register,Role: owner
2025-07-24T21:40:22.934459,duyen1,register,Role: owner
2025-07-24T22:06:21.515528,duyen123,register,Role: owner
2025-07-24T22:12:26.913848,att,checkin,ak123@1
2025-07-24T22:12:33.211899,att,checkout,"ak123@1, fee=2.0"
2025-07-24T22:30:58.815235,att,checkin,ak123@1
2025-07-24T22:31:03.749055,att,checkout,"ak123@1, fee=2.0"
2025-07-24T22:34:23.863622,att,checkin,ak123@1
2025-07-24T22:34:30.113596,att,checkin,ab@2
2025-07-24T22:34:35.021569,att,checkout,"ak123@1, fee=2.0"
2025-07-24T22:34:38.732976,att,checkout,"ab@2, fee=2.0"
2025-07-24T22:34:45.789183,att,checkin,ak123@1
2025-07-24T22:34:57.020055,att,checkout,"ak123@1, fee=2.0"
2025-07-24T22:39:07.954768,att,checkin,a@1
2025-07-24T22:39:15.456972,att,checkout,"a@1, fee=2.0"
2025-07-24T22:44:20.493602,att,checkin,a@1
2025-07-24T22:44:25.261685,att,checkin,b@2
2025-07-24T22:44:28.808891,att,checkin,c@3
2025-07-24T22:44:32.572733,att,checkout,"a@1, fee=2.0"
2025-07-24T22:44:36.055327,att,checkout,"b@2, fee=2.0"
2025-07-24T22:44:39.190735,att,checkout,"c@3, fee=2.0"
2025-07-25T11:38:31.818027,att,checkin,a@1
2025-07-25T11:38:36.423582,att,checkout,"a@1, fee=2.0"
2025-07-25T11:49:23.619229,att,checkin,a@1
2025-07-25T11:49:29.893664,att,checkin,b@2
2025-07-25T11:49:36.846084,att,checkin,c@3
2025-07-25T11:49:57.652773,att,checkout,"a@1, fee=2.0"
2025-07-25T11:50:01.385751,att,checkout,"b@2, fee=2.0"
2025-07-25T11:50:07.126249,att,checkout,"c@3, fee=2.0"
2025-07-25T11:52:54.258015,duyen2,register,Role: owner
